name,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin
toyouta corona mark ii (sw),23.00,4,120,97,2506,14.50,72,japan
dodge colt (sw),28.00,4,98,80,2164,15.00,72,usa
toyota corolla 1600 (sw),27.00,4,97,88,2100,16.50,72,japan
buick century 350,13.00,8,350,175,4100,13.00,73,usa
amc matador,14.00,8,304,150,3672,11.50,73,usa
chevrolet malibu,13.00,8,350,145,3988,13.00,73,usa
ford gran torino,14.00,8,302,137,4042,14.50,73,usa
dodge coronet custom,15.00,8,318,150,3777,12.50,73,usa
mercury marquis brougham,12.00,8,429,198,4952,11.50,73,usa
chevrolet caprice classic,13.00,8,400,150,4464,12.00,73,usa
ford ltd,13.00,8,351,158,4363,13.00,73,usa
plymouth fury gran sedan,14.00,8,318,150,4237,14.50,73,usa
chrysler new yorker brougham,13.00,8,440,215,4735,11.00,73,usa
buick electra 225 custom,12.00,8,455,225,4951,11.00,73,usa
amc ambassador brougham,13.00,8,360,175,3821,11.00,73,usa
plymouth valiant,18.00,6,225,105,3121,16.50,73,usa
chevrolet nova custom,16.00,6,250,100,3278,18.00,73,usa
amc hornet,18.00,6,232,100,2945,16.00,73,usa
ford maverick,18.00,6,250,88,3021,16.50,73,usa
plymouth duster,23.00,6,198,95,2904,16.00,73,usa
volkswagen super beetle,26.00,4,97,46,1950,21.00,73,europe
chevrolet impala,11.00,8,400,150,4997,14.00,73,usa
ford country,12.00,8,400,167,4906,12.50,73,usa
plymouth custom suburb,13.00,8,360,170,4654,13.00,73,usa
oldsmobile vista cruiser,12.00,8,350,180,4499,12.50,73,usa
amc gremlin,18.00,6,232,100,2789,15.00,73,usa
toyota carina,20.00,4,97,88,2279,19.00,73,japan
chevrolet vega,21.00,4,140,72,2401,19.50,73,usa
datsun 610,22.00,4,108,94,2379,16.50,73,japan
maxda rx3,18.00,3,70,90,2124,13.50,73,japan
ford pinto,19.00,4,122,85,2310,18.50,73,usa
mercury capri v6,21.00,6,155,107,2472,14.00,73,usa
fiat 124 sport coupe,26.00,4,98,90,2265,15.50,73,europe
chevrolet monte carlo s,15.00,8,350,145,4082,13.00,73,usa
pontiac grand prix,16.00,8,400,230,4278,9.50,73,usa
fiat 128,29.00,4,68,49,1867,19.50,73,europe
opel manta,24.00,4,116,75,2158,15.50,73,europe
audi 100ls,20.00,4,114,91,2582,14.00,73,europe
volvo 144ea,19.00,4,121,112,2868,15.50,73,europe
dodge dart custom,15.00,8,318,150,3399,11.00,73,usa
saab 99le,24.00,4,121,110,2660,14.00,73,europe
toyota mark ii,20.00,6,156,122,2807,13.50,73,japan
oldsmobile omega,11.00,8,350,180,3664,11.00,73,usa
plymouth duster,20.00,6,198,95,3102,16.50,74,usa
amc hornet,19.00,6,232,100,2901,16.00,74,usa
chevrolet nova,15.00,6,250,100,3336,17.00,74,usa
datsun b210,31.00,4,79,67,1950,19.00,74,japan
ford pinto,26.00,4,122,80,2451,16.50,74,usa
toyota corolla 1200,32.00,4,71,65,1836,21.00,74,japan
chevrolet vega,25.00,4,140,75,2542,17.00,74,usa
chevrolet chevelle malibu classic,16.00,6,250,100,3781,17.00,74,usa
amc matador,16.00,6,258,110,3632,18.00,74,usa
plymouth satellite sebring,18.00,6,225,105,3613,16.50,74,usa
ford gran torino,16.00,8,302,140,4141,14.00,74,usa
buick century luxus (sw),13.00,8,350,150,4699,14.50,74,usa
dodge coronet custom (sw),14.00,8,318,150,4457,13.50,74,usa
ford gran torino (sw),14.00,8,302,140,4638,16.00,74,usa
amc matador (sw),14.00,8,304,150,4257,15.50,74,usa
audi fox,29.00,4,98,83,2219,16.50,74,europe
volkswagen dasher,26.00,4,79,67,1963,15.50,74,europe
opel manta,26.00,4,97,78,2300,14.50,74,europe
toyota corona,31.00,4,76,52,1649,16.50,74,japan
datsun 710,32.00,4,83,61,2003,19.00,74,japan
dodge colt,28.00,4,90,75,2125,14.50,74,usa
fiat 128,24.00,4,90,75,2108,15.50,74,europe
fiat 124 tc,26.00,4,116,75,2246,14.00,74,europe
honda civic,24.00,4,120,97,2489,15.00,74,japan
subaru,26.00,4,108,93,2391,15.50,74,japan
fiat x1.9,31.00,4,79,67,2000,16.00,74,europe
plymouth valiant custom,19.00,6,225,95,3264,16.00,75,usa
chevrolet nova,18.00,6,250,105,3459,16.00,75,usa
mercury monarch,15.00,6,250,72,3432,21.00,75,usa
ford maverick,15.00,6,250,72,3158,19.50,75,usa
pontiac catalina,16.00,8,400,170,4668,11.50,75,usa
chevrolet bel air,15.00,8,350,145,4440,14.00,75,usa
plymouth grand fury,16.00,8,318,150,4498,14.50,75,usa
ford ltd,14.00,8,351,148,4657,13.50,75,usa
buick century,17.00,6,231,110,3907,21.00,75,usa
chevroelt chevelle malibu,16.00,6,250,105,3897,18.50,75,usa
amc matador,15.00,6,258,110,3730,19.00,75,usa
plymouth fury,18.00,6,225,95,3785,19.00,75,usa
buick skyhawk,21.00,6,231,110,3039,15.00,75,usa
chevrolet monza 2+2,20.00,8,262,110,3221,13.50,75,usa
ford mustang ii,13.00,8,302,129,3169,12.00,75,usa
toyota corolla,29.00,4,97,75,2171,16.00,75,japan
ford pinto,23.00,4,140,83,2639,17.00,75,usa
amc gremlin,20.00,6,232,100,2914,16.00,75,usa
pontiac astro,23.00,4,140,78,2592,18.50,75,usa
toyota corona,24.00,4,134,96,2702,13.50,75,japan
volkswagen dasher,25.00,4,90,71,2223,16.50,75,europe
datsun 710,24.00,4,119,97,2545,17.00,75,japan
ford pinto,18.00,6,171,97,2984,14.50,75,usa
volkswagen rabbit,29.00,4,90,70,1937,14.00,75,europe
amc pacer,19.00,6,232,90,3211,17.00,75,usa
audi 100ls,23.00,4,115,95,2694,15.00,75,europe
peugeot 504,23.00,4,120,88,2957,17.00,75,europe
volvo 244dl,22.00,4,121,98,2945,14.50,75,europe
saab 99le,25.00,4,121,115,2671,13.50,75,europe
honda civic cvcc,33.00,4,91,53,1795,17.50,75,japan
fiat 131,28.00,4,107,86,2464,15.50,76,europe
opel 1900,25.00,4,116,81,2220,16.90,76,europe
capri ii,25.00,4,140,92,2572,14.90,76,usa
dodge colt,26.00,4,98,79,2255,17.70,76,usa
renault 12tl,27.00,4,101,83,2202,15.30,76,europe
chevrolet chevelle malibu classic,17.50,8,305,140,4215,13.00,76,usa
dodge coronet brougham,16.00,8,318,150,4190,13.00,76,usa
amc matador,15.50,8,304,120,3962,13.90,76,usa
ford gran torino,14.50,8,351,152,4215,12.80,76,usa
plymouth valiant,22.00,6,225,100,3233,15.40,76,usa
chevrolet nova,22.00,6,250,105,3353,14.50,76,usa
ford maverick,24.00,6,200,81,3012,17.60,76,usa
amc hornet,22.50,6,232,90,3085,17.60,76,usa
chevrolet chevette,29.00,4,85,52,2035,22.20,76,usa
chevrolet woody,24.50,4,98,60,2164,22.10,76,usa
vw rabbit,29.00,4,90,70,1937,14.20,76,europe
honda civic,33.00,4,91,53,1795,17.40,76,japan
dodge aspen se,20.00,6,225,100,3651,17.70,76,usa
ford granada ghia,18.00,6,250,78,3574,21.00,76,usa
pontiac ventura sj,18.50,6,250,110,3645,16.20,76,usa
amc pacer d/l,17.50,6,258,95,3193,17.80,76,usa
volkswagen rabbit,29.50,4,97,71,1825,12.20,76,europe
datsun b-210,32.00,4,85,70,1990,17.00,76,japan
toyota corolla,28.00,4,97,75,2155,16.40,76,japan
ford pinto,26.50,4,140,72,2565,13.60,76,usa
volvo 245,20.00,4,130,102,3150,15.70,76,europe
plymouth volare premier v8,13.00,8,318,150,3940,13.20,76,usa
peugeot 504,19.00,4,120,88,3270,21.90,76,europe
toyota mark ii,19.00,6,156,108,2930,15.50,76,japan
mercedes-benz 280s,16.50,6,168,120,3820,16.70,76,europe
cadillac seville,16.50,8,350,180,4380,12.10,76,usa
chevy c10,13.00,8,350,145,4055,12.00,76,usa
ford f108,13.00,8,302,130,3870,15.00,76,usa
dodge d100,13.00,8,318,150,3755,14.00,76,usa
honda accord cvcc,31.50,4,98,68,2045,18.50,77,japan
buick opel isuzu deluxe,30.00,4,111,80,2155,14.80,77,usa
renault 5 gtl,36.00,4,79,58,1825,18.60,77,europe
plymouth arrow gs,25.50,4,122,96,2300,15.50,77,usa
datsun f-10 hatchback,33.50,4,85,70,1945,16.80,77,japan
chevrolet caprice classic,17.50,8,305,145,3880,12.50,77,usa
oldsmobile cutlass supreme,17.00,8,260,110,4060,19.00,77,usa
dodge monaco brougham,15.50,8,318,145,4140,13.70,77,usa
mercury cougar brougham,15.00,8,302,130,4295,14.90,77,usa
chevrolet concours,17.50,6,250,110,3520,16.40,77,usa
buick skylark,20.50,6,231,105,3425,16.90,77,usa
plymouth volare custom,19.00,6,225,100,3630,17.70,77,usa
ford granada,18.50,6,250,98,3525,19.00,77,usa
pontiac grand prix lj,16.00,8,400,180,4220,11.10,77,usa
chevrolet monte carlo landau,15.50,8,350,170,4165,11.40,77,usa
chrysler cordoba,15.50,8,400,190,4325,12.20,77,usa
ford thunderbird,16.00,8,351,149,4335,14.50,77,usa
volkswagen rabbit custom,29.00,4,97,78,1940,14.50,77,europe
pontiac sunbird coupe,24.50,4,151,88,2740,16.00,77,usa
toyota corolla liftback,26.00,4,97,75,2265,18.20,77,japan
ford mustang ii 2+2,25.50,4,140,89,2755,15.80,77,usa
chevrolet chevette,30.50,4,98,63,2051,17.00,77,usa
dodge colt m/m,33.50,4,98,83,2075,15.90,77,usa
subaru dl,30.00,4,97,67,1985,16.40,77,japan
volkswagen dasher,30.50,4,97,78,2190,14.10,77,europe
datsun 810,22.00,6,146,97,2815,14.50,77,japan
bmw 320i,21.50,4,121,110,2600,12.80,77,europe
mazda rx-4,21.50,3,80,110,2720,13.50,77,japan
volkswagen rabbit custom diesel,43.10,4,90,48,1985,21.50,78,europe
ford fiesta,36.10,4,98,66,1800,14.40,78,usa
mazda glc deluxe,32.80,4,78,52,1985,19.40,78,japan
datsun b210 gx,39.40,4,85,70,2070,18.60,78,japan
honda civic cvcc,36.10,4,91,60,1800,16.40,78,japan
oldsmobile cutlass salon brougham,19.90,8,260,110,3365,15.50,78,usa
dodge diplomat,19.40,8,318,140,3735,13.20,78,usa
mercury monarch ghia,20.20,8,302,139,3570,12.80,78,usa
pontiac phoenix lj,19.20,6,231,105,3535,19.20,78,usa
chevrolet malibu,20.50,6,200,95,3155,18.20,78,usa
ford fairmont (auto),20.20,6,200,85,2965,15.80,78,usa
ford fairmont (man),25.10,4,140,88,2720,15.40,78,usa
plymouth volare,20.50,6,225,100,3430,17.20,78,usa
amc concord,19.40,6,232,90,3210,17.20,78,usa
buick century special,20.60,6,231,105,3380,15.80,78,usa
mercury zephyr,20.80,6,200,85,3070,16.70,78,usa
dodge aspen,18.60,6,225,110,3620,18.70,78,usa
amc concord d/l,18.10,6,258,120,3410,15.10,78,usa
chevrolet monte carlo landau,19.20,8,305,145,3425,13.20,78,usa
buick regal sport coupe (turbo),17.70,6,231,165,3445,13.40,78,usa
ford futura,18.10,8,302,139,3205,11.20,78,usa
dodge magnum xe,17.50,8,318,140,4080,13.70,78,usa
chevrolet chevette,30.00,4,98,68,2155,16.50,78,usa
toyota corona,27.50,4,134,95,2560,14.20,78,japan
datsun 510,27.20,4,119,97,2300,14.70,78,japan
dodge omni,30.90,4,105,75,2230,14.50,78,usa
toyota celica gt liftback,21.10,4,134,95,2515,14.80,78,japan
plymouth sapporo,23.20,4,156,105,2745,16.70,78,usa
oldsmobile starfire sx,23.80,4,151,85,2855,17.60,78,usa
datsun 200-sx,23.90,4,119,97,2405,14.90,78,japan
audi 5000,20.30,5,131,103,2830,15.90,78,europe
volvo 264gl,17.00,6,163,125,3140,13.60,78,europe
saab 99gle,21.60,4,121,115,2795,15.70,78,europe
peugeot 604sl,16.20,6,163,133,3410,15.80,78,europe
volkswagen scirocco,31.50,4,89,71,1990,14.90,78,europe
honda accord lx,29.50,4,98,68,2135,16.60,78,japan
pontiac lemans v6,21.50,6,231,115,3245,15.40,79,usa
mercury zephyr 6,19.80,6,200,85,2990,18.20,79,usa
ford fairmont 4,22.30,4,140,88,2890,17.30,79,usa
amc concord dl 6,20.20,6,232,90,3265,18.20,79,usa
dodge aspen 6,20.60,6,225,110,3360,16.60,79,usa
chevrolet caprice classic,17.00,8,305,130,3840,15.40,79,usa
ford ltd landau,17.60,8,302,129,3725,13.40,79,usa
mercury grand marquis,16.50,8,351,138,3955,13.20,79,usa
dodge st. regis,18.20,8,318,135,3830,15.20,79,usa
buick estate wagon (sw),16.90,8,350,155,4360,14.90,79,usa
ford country squire (sw),15.50,8,351,142,4054,14.30,79,usa
chevrolet malibu classic (sw),19.20,8,267,125,3605,15.00,79,usa
chrysler lebaron town @ country (sw),18.50,8,360,150,3940,13.00,79,usa
vw rabbit custom,31.90,4,89,71,1925,14.00,79,europe
maxda glc deluxe,34.10,4,86,65,1975,15.20,79,japan
dodge colt hatchback custom,35.70,4,98,80,1915,14.40,79,usa
amc spirit dl,27.40,4,121,80,2670,15.00,79,usa
mercedes benz 300d,25.40,5,183,77,3530,20.10,79,europe
cadillac eldorado,23.00,8,350,125,3900,17.40,79,usa
peugeot 504,27.20,4,141,71,3190,24.80,79,europe
oldsmobile cutlass salon brougham,23.90,8,260,90,3420,22.20,79,usa
plymouth horizon,34.20,4,105,70,2200,13.20,79,usa
plymouth horizon tc3,34.50,4,105,70,2150,14.90,79,usa
datsun 210,31.80,4,85,65,2020,19.20,79,japan
fiat strada custom,37.30,4,91,69,2130,14.70,79,europe
buick skylark limited,28.40,4,151,90,2670,16.00,79,usa
chevrolet citation,28.80,6,173,115,2595,11.30,79,usa
oldsmobile omega brougham,26.80,6,173,115,2700,12.90,79,usa
pontiac phoenix,33.50,4,151,90,2556,13.20,79,usa
vw rabbit,41.50,4,98,76,2144,14.70,80,europe
toyota corolla tercel,38.10,4,89,60,1968,18.80,80,japan
chevrolet chevette,32.10,4,98,70,2120,15.50,80,usa
datsun 310,37.20,4,86,65,2019,16.40,80,japan
chevrolet citation,28.00,4,151,90,2678,16.50,80,usa
ford fairmont,26.40,4,140,88,2870,18.10,80,usa
amc concord,24.30,4,151,90,3003,20.10,80,usa
dodge aspen,19.10,6,225,90,3381,18.70,80,usa
audi 4000,34.30,4,97,78,2188,15.80,80,europe
toyota corona liftback,29.80,4,134,90,2711,15.50,80,japan
mazda 626,31.30,4,120,75,2542,17.50,80,japan
datsun 510 hatchback,37.00,4,119,92,2434,15.00,80,japan
toyota corolla,32.20,4,108,75,2265,15.20,80,japan
mazda glc,46.60,4,86,65,2110,17.90,80,japan
dodge colt,27.90,4,156,105,2800,14.40,80,usa
datsun 210,40.80,4,85,65,2110,19.20,80,japan
vw rabbit c (diesel),44.30,4,90,48,2085,21.70,80,europe
vw dasher (diesel),43.40,4,90,48,2335,23.70,80,europe
audi 5000s (diesel),36.40,5,121,67,2950,19.90,80,europe
mercedes-benz 240d,30.00,4,146,67,3250,21.80,80,europe
honda civic 1500 gl,44.60,4,91,67,1850,13.80,80,japan
subaru dl,33.80,4,97,67,2145,18.00,80,japan
vokswagen rabbit,29.80,4,89,62,1845,15.30,80,europe
datsun 280-zx,32.70,6,168,132,2910,11.40,80,japan
mazda rx-7 gs,23.70,3,70,100,2420,12.50,80,japan
triumph tr7 coupe,35.00,4,122,88,2500,15.10,80,europe
honda accord,32.40,4,107,72,2290,17.00,80,japan
plymouth reliant,27.20,4,135,84,2490,15.70,81,usa
buick skylark,26.60,4,151,84,2635,16.40,81,usa
dodge aries wagon (sw),25.80,4,156,92,2620,14.40,81,usa
chevrolet citation,23.50,6,173,110,2725,12.60,81,usa
plymouth reliant,30.00,4,135,84,2385,12.90,81,usa
toyota starlet,39.10,4,79,58,1755,16.90,81,japan
plymouth champ,39.00,4,86,64,1875,16.40,81,usa
honda civic 1300,35.10,4,81,60,1760,16.10,81,japan
subaru,32.30,4,97,67,2065,17.80,81,japan
datsun 210 mpg,37.00,4,85,65,1975,19.40,81,japan
toyota tercel,37.70,4,89,62,2050,17.30,81,japan
mazda glc 4,34.10,4,91,68,1985,16.00,81,japan
plymouth horizon 4,34.70,4,105,63,2215,14.90,81,usa
ford escort 4w,34.40,4,98,65,2045,16.20,81,usa
ford escort 2h,29.90,4,98,65,2380,20.70,81,usa
volkswagen jetta,33.00,4,105,74,2190,14.20,81,europe
honda prelude,33.70,4,107,75,2210,14.40,81,japan
toyota corolla,32.40,4,108,75,2350,16.80,81,japan
datsun 200sx,32.90,4,119,100,2615,14.80,81,japan
mazda 626,31.60,4,120,74,2635,18.30,81,japan
peugeot 505s turbo diesel,28.10,4,141,80,3230,20.40,81,europe
volvo diesel,30.70,6,145,76,3160,19.60,81,europe
toyota cressida,25.40,6,168,116,2900,12.60,81,japan
datsun 810 maxima,24.20,6,146,120,2930,13.80,81,japan
buick century,22.40,6,231,110,3415,15.80,81,usa
oldsmobile cutlass ls,26.60,8,350,105,3725,19.00,81,usa
ford granada gl,20.20,6,200,88,3060,17.10,81,usa
chrysler lebaron salon,17.60,6,225,85,3465,16.60,81,usa
chevrolet cavalier,28.00,4,112,88,2605,19.60,82,usa
chevrolet cavalier wagon,27.00,4,112,88,2640,18.60,82,usa
chevrolet cavalier 2-door,34.00,4,112,88,2395,18.00,82,usa
pontiac j2000 se hatchback,31.00,4,112,85,2575,16.20,82,usa
dodge aries se,29.00,4,135,84,2525,16.00,82,usa
pontiac phoenix,27.00,4,151,90,2735,18.00,82,usa
ford fairmont futura,24.00,4,140,92,2865,16.40,82,usa
volkswagen rabbit l,36.00,4,105,74,1980,15.30,82,europe
mazda glc custom l,37.00,4,91,68,2025,18.20,82,japan
mazda glc custom,31.00,4,91,68,1970,17.60,82,japan
plymouth horizon miser,38.00,4,105,63,2125,14.70,82,usa
mercury lynx l,36.00,4,98,70,2125,17.30,82,usa
nissan stanza xe,36.00,4,120,88,2160,14.50,82,japan
honda accord,36.00,4,107,75,2205,14.50,82,japan
toyota corolla,34.00,4,108,70,2245,16.90,82,japan
honda civic,38.00,4,91,67,1965,15.00,82,japan
honda civic (auto),32.00,4,91,67,1965,15.70,82,japan
datsun 310 gx,38.00,4,91,67,1995,16.20,82,japan
buick century limited,25.00,6,181,110,2945,16.40,82,usa
oldsmobile cutlass ciera (diesel),38.00,6,262,85,3015,17.00,82,usa
chrysler lebaron medallion,26.00,4,156,92,2585,14.50,82,usa
ford granada l,22.00,6,232,112,2835,14.70,82,usa
toyota celica gt,32.00,4,144,96,2665,13.90,82,japan
dodge charger 2.2,36.00,4,135,84,2370,13.00,82,usa
chevrolet camaro,27.00,4,151,90,2950,17.30,82,usa
ford mustang gl,27.00,4,140,86,2790,15.60,82,usa
vw pickup,44.00,4,97,52,2130,24.60,82,europe
dodge rampage,32.00,4,135,84,2295,11.60,82,usa
ford ranger,28.00,4,120,79,2625,18.60,82,usa
chevy s-10,31.00,4,119,82,2720,19.40,82,usa
